dbname,Family,code,in_english,name_language,name
abwiki,wikipedia,ab,Abkhazian,&mdash;,Авикипедиа
acewiki,wikipedia,ace,Achinese,mdash,Wikipedia
adywiki,wikipedia,ady,Adyghe,mdash,Википедие
afwiki,wikipedia,af,Afrikaans,mdash,Wikipedia
afwikibooks,wikibooks,af,Afrikaans,mdash,Wikibooks
afwikiquote,wikiquote,af,Afrikaans,mdash,Wikiquote
afwiktionary,wiktionary,af,Afrikaans,mdash,Wiktionary
akwiki,wikipedia,ak,Akan,mdash,Wikipedia
alswiki,wikipedia,gsw,Swiss German,mdash,Wikipedia
amwiki,wikipedia,am,Amharic,mdash,ውክፔዲያ
amwikimedia,wikimedia,hy,Armenian,mdash,Վիքիմեդիա Հայաստան
amwiktionary,wiktionary,am,Amharic,mdash,Wiktionary
angwiki,wikipedia,ang,English, Old (ca.450-1100),mdash,Wikipǣdia
angwiktionary,wiktionary,ang,English, Old (ca.450-1100),mdash,Wikiwordbōc
anwiki,wikipedia,an,Aragonese,mdash,Wikipedia
anwiktionary,wiktionary,an,Aragonese,mdash,Wiktionary
arcwiki,wikipedia,arc,Official Aramaic (700-300 BCE),mdash,ܘܝܩܝܦܕܝܐ
arwiki,wikipedia,ar,Arabic,العربية,ويكيبيديا
arwikibooks,wikibooks,ar,Arabic,العربية,ويكي_الكتب
arwikimedia,wikimedia,es,Spanish,español,Wikimedia Argentina
arwikinews,wikinews,ar,Arabic,العربية,ويكي_الأخبار
arwikiquote,wikiquote,ar,Arabic,العربية,ويكي_الاقتباس
arwikisource,wikisource,ar,Arabic,العربية,ويكي_مصدر
arwikiversity,wikiversity,ar,Arabic,العربية,ويكي الجامعة
arwiktionary,wiktionary,ar,Arabic,العربية,ويكاموس
arzwiki,wikipedia,arz,mdash,mdash,ويكيبيديا
astwiki,wikipedia,ast,Asturian,mdash,Wikipedia
astwiktionary,wiktionary,ast,Asturian,mdash,Wikcionariu
aswiki,wikipedia,as,Assamese,mdash,অসমীয়া ৱিকিপিডিয়া
aswikisource,wikisource,as,Assamese,mdash,ৱিকিউৎস
atjwiki,wikipedia,atj,mdash,mdash,Wikipetcia
avwiki,wikipedia,av,Avaric,mdash,Wikipedia
aywiki,wikipedia,ay,Aymara,mdash,Wikipedia
aywiktionary,wiktionary,ay,Aymara,mdash,Wiktionary
azbwiki,wikipedia,azb,mdash,mdash,ویکی‌پدیا
azwiki,wikipedia,az,Azerbaijani,mdash,Vikipediya
azwikibooks,wikibooks,az,Azerbaijani,mdash,Vikikitab
azwikiquote,wikiquote,az,Azerbaijani,mdash,Vikisitat
azwikisource,wikisource,az,Azerbaijani,mdash,Vikimənbə
azwiktionary,wiktionary,az,Azerbaijani,mdash,Wiktionary
barwiki,wikipedia,bar,mdash,mdash,Wikipedia
bat_smgwiki,wikipedia,sgs,mdash,mdash,Wikipedia
bawiki,wikipedia,ba,Bashkir,mdash,Википедия
bawikibooks,wikibooks,ba,Bashkir,mdash,Викидәреслек
bclwiki,wikipedia,bcl,mdash,mdash,Wikipedia
bdwikimedia,wikimedia,bn,Bengali,mdash,উইকিমিডিয়া বাংলাদেশ
betawikiversity,wikiversity,en,English,mdash,Wikiversity
bewiki,wikipedia,be,Belarusian,беларускі,Вікіпедыя
bewikibooks,wikibooks,be,Belarusian,беларускі,Wikibooks
bewikimedia,wikimedia,en,English,mdash,Wikimedia Belgium
bewikiquote,wikiquote,be,Belarusian,беларускі,Wikiquote
bewikisource,wikisource,be,Belarusian,беларускі,Вікікрыніцы
bewiktionary,wiktionary,be,Belarusian,беларускі,Вікіслоўнік
be_x_oldwiki,wikipedia,be-tarask,mdash,mdash,Вікіпэдыя
bgwiki,wikipedia,bg,Bulgarian,български,Уикипедия
bgwikibooks,wikibooks,bg,Bulgarian,български,Уикикниги
bgwikinews,wikinews,bg,Bulgarian,български,Уикиновини
bgwikiquote,wikiquote,bg,Bulgarian,български,Уикицитат
bgwikisource,wikisource,bg,Bulgarian,български,Уикиизточник
bgwiktionary,wiktionary,bg,Bulgarian,български,Уикиречник
bhwiki,wikipedia,bho,Bhojpuri,mdash,विकिपीडिया
biwiki,wikipedia,bi,Bislama,mdash,Wikipedia
bjnwiki,wikipedia,bjn,mdash,mdash,Wikipidia
bmwiki,wikipedia,bm,Bambara,mdash,Wikipedia
bnwiki,wikipedia,bn,Bengali,mdash,উইকিপিডিয়া
bnwikibooks,wikibooks,bn,Bengali,mdash,উইকিবই
bnwikisource,wikisource,bn,Bengali,mdash,উইকিসংকলন
bnwikivoyage,wikivoyage,bn,Bengali,mdash,উইকিভ্রমণ
bnwiktionary,wiktionary,bn,Bengali,mdash,উইকিঅভিধান
bowiki,wikipedia,bo,Tibetan,mdash,Wikipedia
bpywiki,wikipedia,bpy,mdash,mdash,উইকিপিডিয়া
brwiki,wikipedia,br,Breton,mdash,Wikipedia
brwikimedia,wikimedia,pt-br,mdash,mdash,Wikimedia Brasil
brwikiquote,wikiquote,br,Breton,mdash,Wikiarroud
brwikisource,wikisource,br,Breton,mdash,Wikimammenn
brwiktionary,wiktionary,br,Breton,mdash,Wikeriadur
bswiki,wikipedia,bs,Bosnian,mdash,Wikipedia
bswikibooks,wikibooks,bs,Bosnian,mdash,Wikiknjige
bswikinews,wikinews,bs,Bosnian,mdash,Wikivijesti
bswikiquote,wikiquote,bs,Bosnian,mdash,Wikicitati
bswikisource,wikisource,bs,Bosnian,mdash,Wikizvor
bswiktionary,wiktionary,bs,Bosnian,mdash,Wikirječnik
bugwiki,wikipedia,bug,Buginese,mdash,Wikipedia
bxrwiki,wikipedia,bxr,mdash,mdash,Wikipedia
cawiki,wikipedia,ca,Catalan,català,Viquipèdia
cawikibooks,wikibooks,ca,Catalan,català,Viquillibres
cawikimedia,wikimedia,en,English,mdash,Wikimedia Canada
cawikinews,wikinews,ca,Catalan,català,Viquinotícies
cawikiquote,wikiquote,ca,Catalan,català,Viquidites
cawikisource,wikisource,ca,Catalan,català,Viquitexts
cawiktionary,wiktionary,ca,Catalan,català,Viccionari
cbk_zamwiki,wikipedia,cbk-zam,mdash,mdash,Wikipedia
cdowiki,wikipedia,cdo,mdash,mdash,Wikipedia
cebwiki,wikipedia,ceb,Cebuano,mdash,Wikipedia
cewiki,wikipedia,ce,Chechen,mdash,Википеди
chrwiki,wikipedia,chr,Cherokee,mdash,Wikipedia
chrwiktionary,wiktionary,chr,Cherokee,mdash,Wiktionary
chwiki,wikipedia,ch,Chamorro,mdash,Wikipedia
chywiki,wikipedia,chy,Cheyenne,mdash,Tsétsêhéstâhese Wikipedia
ckbwiki,wikipedia,ckb,mdash,mdash,ویکیپیدیا
cnwikimedia,wikimedia,zh,Chinese,中文,中国维基媒体用户组
commonswiki,special,en,English,mdash,Wikimedia Commons
cowiki,wikipedia,co,Corsican,mdash,Wikipedia
cowikimedia,wikimedia,es,Spanish,español,Wikimedia Colombia
cowiktionary,wiktionary,co,Corsican,mdash,Wiktionary
crhwiki,wikipedia,crh,Crimean Tatar,mdash,Vikipediya
crwiki,wikipedia,cr,Cree,mdash,Wikipedia
csbwiki,wikipedia,csb,Kashubian,mdash,Wikipedia
csbwiktionary,wiktionary,csb,Kashubian,mdash,Wiktionary
cswiki,wikipedia,cs,Czech,čeština,Wikipedie
cswikibooks,wikibooks,cs,Czech,čeština,Wikiknihy
cswikinews,wikinews,cs,Czech,čeština,Wikizprávy
cswikiquote,wikiquote,cs,Czech,čeština,Wikicitáty
cswikisource,wikisource,cs,Czech,čeština,Wikizdroje
cswikiversity,wikiversity,cs,Czech,čeština,Wikiverzita
cswiktionary,wiktionary,cs,Czech,čeština,Wikislovník
cuwiki,wikipedia,cu,Church Slavic,mdash,Википєдїꙗ
cvwiki,wikipedia,cv,Chuvash,mdash,Википеди
cvwikibooks,wikibooks,cv,Chuvash,mdash,Wikibooks
cywiki,wikipedia,cy,Welsh,mdash,Wicipedia
cywikibooks,wikibooks,cy,Welsh,mdash,Wicilyfrau
cywikiquote,wikiquote,cy,Welsh,mdash,Wikiquote
cywikisource,wikisource,cy,Welsh,mdash,Wicidestun
cywiktionary,wiktionary,cy,Welsh,mdash,Wiciadur
dawiki,wikipedia,da,Danish,Dansk,Wikipedia
dawikibooks,wikibooks,da,Danish,Dansk,Wikibooks
dawikiquote,wikiquote,da,Danish,Dansk,Wikiquote
dawikisource,wikisource,da,Danish,Dansk,Wikisource
dawiktionary,wiktionary,da,Danish,Dansk,Wiktionary
dewiki,wikipedia,de,German,Deutsch,Wikipedia
dewikibooks,wikibooks,de,German,Deutsch,Wikibooks
dewikinews,wikinews,de,German,Deutsch,Wikinews
dewikiquote,wikiquote,de,German,Deutsch,Wikiquote
dewikisource,wikisource,de,German,Deutsch,Wikisource
dewikiversity,wikiversity,de,German,Deutsch,Wikiversity
dewikivoyage,wikivoyage,de,German,Deutsch,Wikivoyage
dewiktionary,wiktionary,de,German,Deutsch,Wiktionary
dinwiki,wikipedia,din,Dinka,mdash,Wikipedia
diqwiki,wikipedia,diq,mdash,mdash,Wikipedia
dkwikimedia,wikimedia,da,Danish,Dansk,Wikimedia Danmark
donatewiki,special,en,English,mdash,Donate
dsbwiki,wikipedia,dsb,Lower Sorbian,mdash,Wikipedija
dtywiki,wikipedia,dty,mdash,mdash,विकिपिडिया
dvwiki,wikipedia,dv,Divehi,mdash,ވިކިޕީޑިއާ
dvwiktionary,wiktionary,dv,Divehi,mdash,ވިކިރަދީފު
dzwiki,wikipedia,dz,Dzongkha,mdash,Wikipedia
eewiki,wikipedia,ee,Ewe,mdash,Wikipedia
elwiki,wikipedia,el,Greek,Ελληνικά,Βικιπαίδεια
elwikibooks,wikibooks,el,Greek,Ελληνικά,Βικιβιβλία
elwikinews,wikinews,el,Greek,Ελληνικά,Βικινέα
elwikiquote,wikiquote,el,Greek,Ελληνικά,Βικιφθέγματα
elwikisource,wikisource,el,Greek,Ελληνικά,Βικιθήκη
elwikiversity,wikiversity,el,Greek,Ελληνικά,Βικιεπιστήμιο
elwikivoyage,wikivoyage,el,Greek,Ελληνικά,Βικιταξίδια
elwiktionary,wiktionary,el,Greek,Ελληνικά,Βικιλεξικό
emlwiki,wikipedia,eml,mdash,mdash,Wikipedia
enwiki,wikipedia,en,English,mdash,Wikipedia
enwikibooks,wikibooks,en,English,mdash,Wikibooks
enwikinews,wikinews,en,English,mdash,Wikinews
enwikiquote,wikiquote,en,English,mdash,Wikiquote
enwikisource,wikisource,en,English,mdash,Wikisource
enwikiversity,wikiversity,en,English,mdash,Wikiversity
enwikivoyage,wikivoyage,en,English,mdash,Wikivoyage
enwiktionary,wiktionary,en,English,mdash,Wiktionary
eowiki,wikipedia,eo,Esperanto,mdash,Vikipedio
eowikibooks,wikibooks,eo,Esperanto,mdash,Vikilibroj
eowikinews,wikinews,eo,Esperanto,mdash,Vikinovaĵoj
eowikiquote,wikiquote,eo,Esperanto,mdash,Vikicitaro
eowikisource,wikisource,eo,Esperanto,mdash,Vikifontaro
eowiktionary,wiktionary,eo,Esperanto,mdash,Vikivortaro
eswiki,wikipedia,es,Spanish,español,Wikipedia
eswikibooks,wikibooks,es,Spanish,español,Wikilibros
eswikinews,wikinews,es,Spanish,español,Wikinoticias
eswikiquote,wikiquote,es,Spanish,español,Wikiquote
eswikisource,wikisource,es,Spanish,español,Wikisource
eswikiversity,wikiversity,es,Spanish,español,Wikiversidad
eswikivoyage,wikivoyage,es,Spanish,español,Wikiviajes
eswiktionary,wiktionary,es,Spanish,español,Wikcionario
etwiki,wikipedia,et,Estonian,Eesti,Vikipeedia
etwikibooks,wikibooks,et,Estonian,Eesti,Vikiõpikud
etwikimedia,wikimedia,et,Estonian,Eesti,Wikimedia Eesti
etwikiquote,wikiquote,et,Estonian,Eesti,Vikitsitaadid
etwikisource,wikisource,et,Estonian,Eesti,Vikitekstid
etwiktionary,wiktionary,et,Estonian,Eesti,Vikisõnastik
euwiki,wikipedia,eu,Basque,mdash,Wikipedia
euwikibooks,wikibooks,eu,Basque,mdash,Wikibooks
euwikiquote,wikiquote,eu,Basque,mdash,Wikiquote
euwikisource,wikisource,eu,Basque,mdash,Wikiteka
euwiktionary,wiktionary,eu,Basque,mdash,Wiktionary
extwiki,wikipedia,ext,mdash,mdash,Güiquipeya
fawiki,wikipedia,fa,Persian,mdash,ویکی‌پدیا
fawikibooks,wikibooks,fa,Persian,mdash,ویکی‌کتاب
fawikinews,wikinews,fa,Persian,mdash,ویکی‌خبر
fawikiquote,wikiquote,fa,Persian,mdash,ویکی‌گفتاورد
fawikisource,wikisource,fa,Persian,mdash,ویکی‌نبشته
fawikivoyage,wikivoyage,fa,Persian,mdash,ویکی‌سفر
fawiktionary,wiktionary,fa,Persian,mdash,ویکی‌واژه
ffwiki,wikipedia,ff,Fulah,mdash,Wikipedia
fiu_vrowiki,wikipedia,vro,mdash,mdash,Wikipedia
fiwiki,wikipedia,fi,Finnish,suomi,Wikipedia
fiwikibooks,wikibooks,fi,Finnish,suomi,Wikikirjasto
fiwikimedia,wikimedia,fi,Finnish,suomi,Wikimedia Suomi
fiwikinews,wikinews,fi,Finnish,suomi,Wikiuutiset
fiwikiquote,wikiquote,fi,Finnish,suomi,Wikisitaatit
fiwikisource,wikisource,fi,Finnish,suomi,Wikiaineisto
fiwikiversity,wikiversity,fi,Finnish,suomi,Wikiopisto
fiwikivoyage,wikivoyage,fi,Finnish,suomi,Wikimatkat
fiwiktionary,wiktionary,fi,Finnish,suomi,Wikisanakirja
fixcopyrightwiki,special,en,English,mdash,Fix copyright - Wikimedia Foundation
fjwiki,wikipedia,fj,Fijian,mdash,Wikipedia
fjwiktionary,wiktionary,fj,Fijian,mdash,Wiktionary
foundationwiki,special,en,English,mdash,Wikimedia Foundation Governance Wiki
fowiki,wikipedia,fo,Faroese,mdash,Wikipedia
fowikisource,wikisource,fo,Faroese,mdash,Wikiheimild
fowiktionary,wiktionary,fo,Faroese,mdash,Wiktionary
frpwiki,wikipedia,frp,mdash,mdash,Vouiquipèdia
frrwiki,wikipedia,frr,Northern Frisian,mdash,Wikipedia
frwiki,wikipedia,fr,French,français,Wikipédia
frwikibooks,wikibooks,fr,French,français,Wikilivres
frwikinews,wikinews,fr,French,français,Wikinews
frwikiquote,wikiquote,fr,French,français,Wikiquote
frwikisource,wikisource,fr,French,français,Wikisource
frwikiversity,wikiversity,fr,French,français,Wikiversité
frwikivoyage,wikivoyage,fr,French,français,Wikivoyage
frwiktionary,wiktionary,fr,French,français,Wiktionnaire
furwiki,wikipedia,fur,Friulian,mdash,Vichipedie
fywiki,wikipedia,fy,Frisian,mdash,Wikipedy
fywikibooks,wikibooks,fy,Frisian,mdash,Wikibooks
fywiktionary,wiktionary,fy,Frisian,mdash,Wiktionary
gagwiki,wikipedia,gag,mdash,mdash,Vikipediya
ganwiki,wikipedia,gan,mdash,mdash,維基百科
gawiki,wikipedia,ga,Irish,Gaeilge,Vicipéid
gawiktionary,wiktionary,ga,Irish,Gaeilge,Vicífhoclóir
gdwiki,wikipedia,gd,Scottish Gaelic,mdash,Uicipeid
gdwiktionary,wiktionary,gd,Scottish Gaelic,mdash,Wiktionary
glkwiki,wikipedia,glk,mdash,mdash,Wikipedia
glwiki,wikipedia,gl,Gallegan,mdash,Wikipedia
glwikibooks,wikibooks,gl,Gallegan,mdash,Wikibooks
glwikiquote,wikiquote,gl,Gallegan,mdash,Wikiquote
glwikisource,wikisource,gl,Gallegan,mdash,Wikisource
glwiktionary,wiktionary,gl,Gallegan,mdash,Wiktionary
gnwiki,wikipedia,gn,Guarani,mdash,Vikipetã
gnwiktionary,wiktionary,gn,Guarani,mdash,Wiktionary
gomwiki,wikipedia,gom,mdash,mdash,विकिपीडिया
gorwiki,wikipedia,gor,Gorontalo,mdash,Wikipedia
gotwiki,wikipedia,got,Gothic,mdash,Wikipedia
guwiki,wikipedia,gu,Gujarati,mdash,વિકિપીડિયા
guwikiquote,wikiquote,gu,Gujarati,mdash,વિકિસૂક્તિ
guwikisource,wikisource,gu,Gujarati,mdash,વિકિસ્રોત
guwiktionary,wiktionary,gu,Gujarati,mdash,વિકિકોશ
gvwiki,wikipedia,gv,Manx,mdash,Wikipedia
gvwiktionary,wiktionary,gv,Manx,mdash,Wiktionary
hakwiki,wikipedia,hak,mdash,mdash,Wikipedia
hawiki,wikipedia,ha,Hausa,mdash,Wikipedia
hawiktionary,wiktionary,ha,Hausa,mdash,Wiktionary
hawwiki,wikipedia,haw,Hawaiian,mdash,Wikipedia
hewiki,wikipedia,he,Hebrew,עברית,ויקיפדיה
hewikibooks,wikibooks,he,Hebrew,עברית,ויקיספר
hewikinews,wikinews,he,Hebrew,עברית,ויקיחדשות
hewikiquote,wikiquote,he,Hebrew,עברית,ויקיציטוט
hewikisource,wikisource,he,Hebrew,עברית,ויקיטקסט
hewikivoyage,wikivoyage,he,Hebrew,עברית,ויקימסע
hewiktionary,wiktionary,he,Hebrew,עברית,ויקימילון
hifwiki,wikipedia,hif,mdash,mdash,Wikipedia
hifwiktionary,wiktionary,hif,mdash,mdash,Sabdkosh
hiwiki,wikipedia,hi,Hindi,हिंदी,विकिपीडिया
hiwikibooks,wikibooks,hi,Hindi,हिंदी,Wikibooks
hiwikimedia,wikimedia,hi,Hindi,हिंदी,Hindi Wikimedians User Group
hiwikiquote,wikiquote,hi,Hindi,हिंदी,विकिसूक्ति
hiwikiversity,wikiversity,hi,Hindi,हिंदी,विकिविश्वविद्यालय
hiwikivoyage,wikivoyage,hi,Hindi,हिंदी,विकियात्रा
hiwiktionary,wiktionary,hi,Hindi,हिंदी,विक्षनरी
hrwiki,wikipedia,hr,Croatian,hrvatski,Wikipedija
hrwikibooks,wikibooks,hr,Croatian,hrvatski,Wikibooks
hrwikiquote,wikiquote,hr,Croatian,hrvatski,Wikicitat
hrwikisource,wikisource,hr,Croatian,hrvatski,Wikizvor
hrwiktionary,wiktionary,hr,Croatian,hrvatski,Wiktionary
hsbwiki,wikipedia,hsb,Upper Sorbian,mdash,Wikipedija
hsbwiktionary,wiktionary,hsb,Upper Sorbian,mdash,Wikisłownik
htwiki,wikipedia,ht,Haitian,mdash,Wikipedya
huwiki,wikipedia,hu,Hungarian,magyar,Wikipédia
huwikibooks,wikibooks,hu,Hungarian,magyar,Wikikönyvek
huwikiquote,wikiquote,hu,Hungarian,magyar,Wikidézet
huwikisource,wikisource,hu,Hungarian,magyar,Wikiforrás
huwiktionary,wiktionary,hu,Hungarian,magyar,Wikiszótár
hywiki,wikipedia,hy,Armenian,mdash,Վիքիպեդիա
hywikibooks,wikibooks,hy,Armenian,mdash,Վիքիգրքեր
hywikiquote,wikiquote,hy,Armenian,mdash,Վիքիքաղվածք
hywikisource,wikisource,hy,Armenian,mdash,Վիքիդարան
hywiktionary,wiktionary,hy,Armenian,mdash,Վիքիբառարան
iawiki,wikipedia,ia,Interlingua,mdash,Wikipedia
iawikibooks,wikibooks,ia,Interlingua,mdash,Wikibooks
iawiktionary,wiktionary,ia,Interlingua,mdash,Wiktionario
idwiki,wikipedia,id,Indonesian,Bahasa Indonesia,Wikipedia
idwikibooks,wikibooks,id,Indonesian,Bahasa Indonesia,Wikibuku
idwikimedia,wikimedia,id,Indonesian,Bahasa Indonesia,Wikimedia Indonesia
idwikiquote,wikiquote,id,Indonesian,Bahasa Indonesia,Wikiquote
idwikisource,wikisource,id,Indonesian,Bahasa Indonesia,Wikisource
idwiktionary,wiktionary,id,Indonesian,Bahasa Indonesia,Wiktionary
iewiki,wikipedia,ie,Interlingue,mdash,Wikipedia
iewiktionary,wiktionary,ie,Interlingue,mdash,Wiktionary
igwiki,wikipedia,ig,Igbo,mdash,Wikipedia
ikwiki,wikipedia,ik,Inupiaq,mdash,Wikipedia
ilowiki,wikipedia,ilo,Iloko,mdash,Wikipedia
incubatorwiki,special,en,English,mdash,Wikimedia Incubator
inhwiki,wikipedia,inh,Ingush,mdash,Википеди
iowiki,wikipedia,io,Ido,mdash,Wikipedio
iowiktionary,wiktionary,io,Ido,mdash,Wikivortaro
iswiki,wikipedia,is,Icelandic,íslenska,Wikipedia
iswikibooks,wikibooks,is,Icelandic,íslenska,Wikibækur
iswikiquote,wikiquote,is,Icelandic,íslenska,Wikivitnun
iswikisource,wikisource,is,Icelandic,íslenska,Wikiheimild
iswiktionary,wiktionary,is,Icelandic,íslenska,Wikiorðabók
itwiki,wikipedia,it,Italian,italiano,Wikipedia
itwikibooks,wikibooks,it,Italian,italiano,Wikibooks
itwikinews,wikinews,it,Italian,italiano,Wikinotizie
itwikiquote,wikiquote,it,Italian,italiano,Wikiquote
itwikisource,wikisource,it,Italian,italiano,Wikisource
itwikiversity,wikiversity,it,Italian,italiano,Wikiversità
itwikivoyage,wikivoyage,it,Italian,italiano,Wikivoyage
itwiktionary,wiktionary,it,Italian,italiano,Wikizionario
iuwiki,wikipedia,iu,Inuktitut,mdash,ᐅᐃᑭᐱᑎᐊ
iuwiktionary,wiktionary,iu,Inuktitut,mdash,Wiktionary
jamwiki,wikipedia,jam,mdash,mdash,Wikipidia
jawiki,wikipedia,ja,Japanese,日本語,Wikipedia
jawikibooks,wikibooks,ja,Japanese,日本語,Wikibooks
jawikinews,wikinews,ja,Japanese,日本語,ウィキニュース
jawikiquote,wikiquote,ja,Japanese,日本語,Wikiquote
jawikisource,wikisource,ja,Japanese,日本語,Wikisource
jawikiversity,wikiversity,ja,Japanese,日本語,ウィキバーシティ
jawiktionary,wiktionary,ja,Japanese,日本語,Wiktionary
jbowiki,wikipedia,jbo,Lojban,mdash,Wikipedia
jbowiktionary,wiktionary,jbo,Lojban,mdash,Wiktionary
jvwiki,wikipedia,jv,Javanese,mdash,Wikipedia
jvwiktionary,wiktionary,jv,Javanese,mdash,Wiktionary
kaawiki,wikipedia,kaa,Kara-Kalpak,mdash,Wikipedia
kabwiki,wikipedia,kab,Kabyle,mdash,Wikipedia
kawiki,wikipedia,ka,Georgian,mdash,ვიკიპედია
kawikibooks,wikibooks,ka,Georgian,mdash,ვიკიწიგნები
kawikiquote,wikiquote,ka,Georgian,mdash,ვიკიციტატა
kawiktionary,wiktionary,ka,Georgian,mdash,ვიქსიკონი
kbdwiki,wikipedia,kbd,Kabardian,mdash,Уикипедиэ
kbpwiki,wikipedia,kbp,mdash,mdash,Wikipediya
kgwiki,wikipedia,kg,Kongo,mdash,Wikipedia
kiwiki,wikipedia,ki,Kikuyu,mdash,Wikipedia
kkwiki,wikipedia,kk,Kazakh,mdash,Уикипедия
kkwikibooks,wikibooks,kk,Kazakh,mdash,Уикикітап
kkwiktionary,wiktionary,kk,Kazakh,mdash,Уикисөздік
klwiki,wikipedia,kl,Greenlandic,mdash,Wikipedia
klwiktionary,wiktionary,kl,Greenlandic,mdash,Wiktionary
kmwiki,wikipedia,km,Khmer,mdash,វិគីភីឌា
kmwikibooks,wikibooks,km,Khmer,mdash,Wikibooks
kmwiktionary,wiktionary,km,Khmer,mdash,Wiktionary
knwiki,wikipedia,kn,Kannada,mdash,ವಿಕಿಪೀಡಿಯ
knwikiquote,wikiquote,kn,Kannada,mdash,ವಿಕಿಕೋಟ್
knwikisource,wikisource,kn,Kannada,mdash,ವಿಕಿಸೋರ್ಸ್
knwiktionary,wiktionary,kn,Kannada,mdash,ವಿಕ್ಷನರಿ
koiwiki,wikipedia,koi,mdash,mdash,Википедия
kowiki,wikipedia,ko,Korean,한국어,위키백과
kowikibooks,wikibooks,ko,Korean,한국어,위키책
kowikinews,wikinews,ko,Korean,한국어,위키뉴스
kowikiquote,wikiquote,ko,Korean,한국어,위키인용집
kowikisource,wikisource,ko,Korean,한국어,위키문헌
kowikiversity,wikiversity,ko,Korean,한국어,위키배움터
kowiktionary,wiktionary,ko,Korean,한국어,위키낱말사전
krcwiki,wikipedia,krc,Karachay-Balkar,mdash,Википедия
kshwiki,wikipedia,ksh,mdash,mdash,Wikipedia
kswiki,wikipedia,ks,Kashmiri,mdash,Wikipedia
kswiktionary,wiktionary,ks,Kashmiri,mdash,Wiktionary
kuwiki,wikipedia,ku,Kurdish,mdash,Wîkîpediya
kuwikibooks,wikibooks,ku,Kurdish,mdash,Wikibooks
kuwikiquote,wikiquote,ku,Kurdish,mdash,Wikiquote
kuwiktionary,wiktionary,ku,Kurdish,mdash,Wîkîferheng
kvwiki,wikipedia,kv,Komi,mdash,Wikipedia
kwwiki,wikipedia,kw,Cornish,mdash,Wikipedia
kwwiktionary,wiktionary,kw,Cornish,mdash,Wiktionary
kywiki,wikipedia,ky,Kirghiz,mdash,Wikipedia
kywikibooks,wikibooks,ky,Kirghiz,mdash,Wikibooks
kywikiquote,wikiquote,ky,Kirghiz,mdash,Wikiquote
kywiktionary,wiktionary,ky,Kirghiz,mdash,Wiktionary
ladwiki,wikipedia,lad,Ladino,mdash,Vikipedya
lawiki,wikipedia,la,Latin,mdash,Vicipaedia
lawikibooks,wikibooks,la,Latin,mdash,Vicilibri
